event_name,organizer,event_type,date,start_time,end_time,location_name,street_address,city,state,zip_code,latitude,longitude,price,registration_fee,registration_url,source_url,registration_status,skill_level,division,gender,age_group,format,capacity,spots_remaining,contact_name,contact_email,contact_phone,description,notes
Lemo Legacy Maker Power Rev Co 6's Fundraising Tournament,The League Sports (TLS),Fundraising Tournament,2026-01-11,,,,,,CA,,,,,,,https://www.tl-sports.com/,unknown,,Indoor,Coed,,"6's, Power Reverse Coed",,,,info@tl-sports.com,408-479-4403,,Listed on TLS homepage tournament schedule. No registration URL or volleyballlife.com link yet associated with this Jan 11 event.
"New Year, No Attitudes Classic",No Attitudes Beach Volleyball,tournament,2026-01-31,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,,,https://beachvolley.app/e/RoZn5gIA3v4kJNhmkT1K,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,,"Coed Novice, Coed Intermediate, Women's, Men's, Teen's, Coed Rated Doubles",,,sand,,,Kaicie McMurray,noattitudesbvb@gmail.com,,Kick off the year with good vibes and great rallies. Coed Rated Doubles welcomes all rating variations.,Detail page did not list times/fees/capacity. Registration URL (beachvolley.app) returned HTTP 403.
Indoor Men's & Women's 6's,The League Sports (TLS),tournament,2026-02-21,,,,,San Francisco Bay Area,CA,,,,,,,https://www.tl-sports.com/,unknown,,"Men's & Women's, 6's",Men's & Women's,,6's,,,,info@tl-sports.com,408-479-4403,,"Listed in TLS 2026 Indoor Tournament Schedule. No detail page, registration URL, venue, or fee published."
Sweetheart Spike Fest,No Attitudes Beach Volleyball,tournament,2026-02-21,10:00 AM,3:30 PM,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,,$70 early / $80 late (per team),https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,"Novice, Intermediate, Rated","Coed Novice, Coed Intermediate, Women's, Men's, Teen's, Coed Rated Doubles","Coed, Men's, Women's",Teens 13-16 and Adults,2s (Doubles),,,Kaicie McMurray,noattitudesbvb@gmail.com,,"Sweetheart Spike Fest — Pairs, partners, and plenty of love on the sand. Pool play with groups of 4-6 teams followed by playoffs. Single games to 21 or 25 points, win by 2.",Registration via Beach Volleyball app (Kyle Gorlick). Late fee ($80) starts two weeks before event date.
Spring Quads Rev Co,FVBL (Fraser Valley Beach League),Tournament,2026-03-14,,,,,,,,,,,,,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,closed,,,Reverse Coed,,Quads,,,,,,,"Past event from March 14, 2026; today is 2026-06-13. Listed under 'FVBL Completed Events (2026)'. Per Revco rule: Revco 4s (quads) is grass or indoor."
Spring Serve Slam,No Attitudes Beach Volleyball,tournament,2026-03-21,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,,$70 early / $80 late (per team),https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,open,"Novice, Intermediate, Rated","Coed 4v4, Coed Novice, Coed Intermediate, Rated Reverse Coed, Women's, Men's","Coed, Women's, Men's",,Mixed: Coed 4v4 plus Doubles divisions,,,Kaicie McMurray,noattitudesbvb@gmail.com,,"80's themed beach volleyball tournament. Multiple divisions including Coed 4v4, Coed Novice, Coed Intermediate, Rated Reverse Coed, Women's, and Men's.",Theme: 80's. Registration via Beach Volleyball iOS app (Kyle Gorlick).
Power Coed '26,SF Dynasty Volleyball,tournament,2026-03-29,,,SF Dynasty Volleyball Training Facility,1416 San Mateo Avenue,South San Francisco,CA,94080,,,,,https://volleyballlife.com/event/35106,https://sfdynastyvb.com/upcoming-events,unknown,,COED,Coed,,,,,,sfdynastyvb@gmail.com,(650) 336-5126,"Power COED tournament hosted by SF Dynasty Volleyball, registration via VolleyballLife.com.",volleyballlife.com/event/35106 is a JS-rendered SPA. Venue inferred from organizer's training facility address.
Spring Quads W & M,FVBL,Grass,2026-03-29,,,,,,,,,,,,,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,closed,,,Women's & Men's,,Quads,,,,,,,Completed event. FB pages 403.
Spring Triples W & M,FVBL,Grass,2026-04-18,,,,,,,,,,,,,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,closed,,,Women's & Men's,,Triples,,,,,,,Event listed under FVBL COMPLETED EVENTS (2026). Facebook event 403.
Surf & Serve Showdown,No Attitudes Beach Volleyball,tournament,2026-04-18,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,$70-$80,$70 early / $80 late (per team),https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,"Mixed (Novice, Intermediate, Rated, Unrated)","Coed Novice, Coed Intermediate, Women's, Men's, Teen's, Coed (1 Unrated + 1 Rated)",Coed/Men's/Women's/Teen's,Adults and Teens (13-16),2s,,,Kaicie McMurray,noattitudesbvb@gmail.com,,When the waves are mellow but the rallies are wild. Beach volleyball tournament hosted by No Attitudes Beach Volleyball.,Format inferred as 2s (doubles). Registration via Beach Volleyball iOS/Android app. Pricing from organizer's general /registration page.
